,text,summary
26,"A German church pastor in Andreas Lubitz’s hometown insisted yesterday that the community stands by the killer co-pilot, as well as his family. Pastor Michael Dietrich, from the Lutheran church in Montabaur, spoke out following the fatal crash  that claimed the lives of 150 people. Among the dead in the French Alps disaster was 27-year-old Lubitz, who investigators say deliberately flew the plane into a mountain last Tuesday. Scroll down for video . Priest: Michael Dietrich, of the Lutheran church in co-pilot Andeas Lubitz's hometown of Montabaur, said the community stands by his family . Arrivals: Mr Dietrich (right) welcomes people at the church entrance in Montabaur, Germany, before a service to commemorate the victims . Community spirit: People leave the church  in Montabaur, following the service to commemorate the crash victims and support their families . Elsewhere, Pope Francis yesterday remembered the dead as he opened solemn Holy Week services in front of some 70,000 faithful at the Vatican. Mr Dietrich said: ‘For us, it makes it particularly difficult that the only victim from Montabaur is suspected to have caused this tragedy.’ He added: ‘The co-pilot, the family belong to our community, and we stand by this, and we embrace them and will not hide this.’ The pastor added that there is no direct contact with the family at the moment, but that he believes they are receiving good assistance. French prosecutors have not yet questioned the family ‘out of decency and respect for their pain’, Marseille prosecutor Brice Robin said. Mr Dietrich said he knew Lubitz as a teenager, when he undertook religious education 13 years ago, and his mother, a part-time organist. Solemn procession: Pope Francis marks a Palm Sunday Mass in St Peter's Square at the Vatican yesterday, five days after the plane crash . Mass: Pope Francis yesterday remembered those killed in the crash as he opened solemn Holy Week services in front of some 70,000 faithful . Remembered: At the end of Palm Sunday Mass outside St Peter's Basilica in the Vatican, Francis prayed for those who died in the tragedy . He added: ‘When I worked with her or talked to her, it was very good and very harmonious. We had good conversations. I know her and her family. 'This does not make sense. It is incomprehensible for me, for us, for everyone who knew her and the family. 'From what I've heard, there were no obvious signs that there is anything in the background that could lead to this.’ Meanwhile Francis prayed for those who died in the tragedy, at the end of Palm Sunday Mass outside St Peter's Basilica yesterday. The 78-year-old pontiff cited in particular the 16 German students returning on Flight 4U9525 from an exchange trip to Spain. In addition, another pastor in Montabaur, Father Johannes Seemann, added that the community was grieving with the Lubitz family, reported Bild. Together: People attend a special Mass to honour the victims of the crash, at the cathedral Notre Dame de Bourg, in Digne-les-Bains, France . Co-pilot: The disaster killed 150 people, including Andreas Lubitz (above) who investigators say deliberately crashed the jet into the mountain . On guard: Police near the house where Lubitz lived in Montabaur - a community that is struggling to come to terms with the past week's events . Two wardens at his service asked God: ‘Have you forgotten the people who were sitting on the plane from Barcelona? Why did not you protect them?’ In Le Vernet, a town near the crash site, families and friends of those killed were still coming to terms with what had happened. ‘Members of the family shed tears as they went to see the site,’ said Ippei Yamanaka, co-worker of Japanese passenger Junichi Sato who died in the crash. ‘It was particularly moving to see Mr Sato's father asking the leader of the Kempeitai (a Japanese military rescue team), with many tears in his eyes, for them to continue the search operation and for it to finish earlier even by just one day. ‘His wife says she still she cannot believe what has happened, saying that it almost feels like her husband is away on his business trip and that it still feels like he is going to return soon.’ Among the tributes left near the crash site in France included one saying: ‘I thank you for everything. You have given me a wonderful life, full of beautiful things.’","Disaster killed 150 people including co-pilot Andreas Lubitz who 'deliberately crashed plane into the mountain'
Pastor Michael Dietrich, from the Lutheran church in Lubitz's hometown Montabaur, speaks out after crash .
Two wardens at another local service ask God: 'Have you forgotten the people who were sitting on the plane?'
Pope Francis prays for victims - citing in particular the 16 German students - at end of Palm Sunday Mass ."
27,"Some foods and medicines, such as many COVID-19 vaccines, must be kept cold. As a step toward a robust, stable technique that could indicate when these products exceed safe limits, researchers in ACS Nano report a class of brilliantly colored microcrystals in materials that become colorless over a wide range of temperatures and response times. As a proof of concept, the team packaged the color-changing materials into a vial lid and QR code.",Color-Changing Microcrystals Monitor Temperatures
28,"It sat on a stark white block in a vast room that resembled a laboratory. I was at the SculptureCenter in the New York borough of Queens, a spot dedicated to all things modern and avant garde. Taking pride of place was a cluster of bottles, each of which contained dog fluff and a photo of the mutt it came from. ‘We’re running a competition to find new talent,’ explained the black-clad curator, brightly. ‘Maybe I’ll shave the cat next time I visit my parents,’ I thought to myself. ‘If I stick the fluff in a bottle, it might just win.’ Cultural revolution: New York is in the throes of a cultural revolution - but MOMA is still brilliant . Welcome, then, to Nu York, a city that bears no resemblance to the version depicted in Friends and Gossip Girl and instead centres around a throbbing contemporary arts scene largely based in Brooklyn and Queens - the latter the beneficiary of a recent gentrification programme. Gone (mostly) are the rough tenements and in their place, a bustling network of shop-lined streets and some seriously classy bars and hotels. Among the latter was the Z Hotel, a stark block of a building decked out in the industrial-chic style so beloved of London hipsters. Stateside Shoreditch, as it were. It was all a far cry from Iceland where I had begun my trip, courtesy of an Icelandair wheeze that gives you the option of stopping off to see the sights of Reykjavik and the spectacular Golden Circle for up to seven days en route to Boston, Anchorage, Washington or, in my case, New York. Although still on the global naughty step thanks to a calamitous economic meltdown in 2009, the Icelandic capital shows signs of recovery – not least in the form of the revellers that lined the street outside the Apotek Hotel, a gloriously Scandinavian-looking place to stay, as I arrived at midnight following an evening flight from London. The next morning, I dragged myself out of bed for a Viking-style cooking class at Salt Eldhus where I learned to cook barley risotto and salt and pepper salmon – the perfect way, as it turned out, to fortify me for the dramatic scenery that came next. Stunning: The Gullfoss Waterfall in Pingvellir National Park is a short hop from Reykjavik . Awe-inspiring: Geysir is home to a row of geysers that fire boiling water and a sulphurous stench into the air . Covered with a thick layer of snow, Pingvellir National Park sits atop the fault line that separates the American continent from the European one and provides Iceland with its volcanoes, geysers and geothermal springs. The site of Iceland’s first parliament, it’s a short hop from Geysir, where a series of geysers explode in a shower of boiling water and revolting sulphurous stench every five minutes or so. Slipping and sliding on the ice, the first explosion caught me unawares and forced me to jump back. At the next one, I held my nerve, looking smugly round at the tourists who had been caught on the hop like I had been. Then came a trip to Friðheimar, a series of greenhouses filled with tomato plants and set next to a stable crammed with hairy Icelandic ponies. The glowing buildings were an odd sight, although the produce was second to none, but even that paled in comparison to the Secret Spring – a bubbling pool flanked by a geyser and lit, on clear nights, by the shimmering green and purple glow of the Northern Lights. Sitting there, watching them ripple, was truly magical. The next morning, it was off to New York which, with its claustrophobic cluster of skyscrapers and determinedly chic inhabitants, was a very different prospect indeed. While Iceland, like the rest of Scandinavia, boasts an effortless flair for design and a natural cool, the Big Apple has clearly worked on it. Beneath the too-cool-for-school surface, however, lies some old-fashioned Americana – not least in the all-American charm of the cheerful locals. Looking cool: Williamsburg, home to Jake Gyllenhaal among others, is awash with artisan bars . New look: Queens has had a makeover, with tough neighbourhoods replaced with cool shops and chic bars . Among them are the staff at the Roger Smith Hotel in Manhattan, who took a break from watching the Super Bowl to ply me with burgers and fries as I arrived, dishevelled, following a five-hour flight from Reykjavik. The next morning, after an all-American breakfast of bacon and waffles, I left the chintzy charms of the Roger Smith behind for a visit to MOMA, the epicentre of New York’s cultural cool. A fabulous place set in a glass and steel building over several floors, it is crammed with modern art dating from the mid-18th century onwards. Matisse, Monet and Picasso are there in numbers, as are Frieda Kahlo and Andy Warhol. Rothko, Malevich and Seurat dot its walls, as does some appalling stuff by the likes of Jean-Pierre Basquiat – avoid that and stick to the good bits on the third floor is my advice. Carrying bags of Warhol prints and a Sunday morning sized MOMA mug, we hopped into one of New York’s iconic yellow taxis for a short ride to low-rise Williamsburg, where another hipster favourite – craft beer – is taking hold. Beneath the pub where we ate lunch was a small collection of stills, where a variety of types, including one containing raw oysters, was being brewed. It was all delicious and a pleasant change from the Budweiser usually found in American bars. Artisan beer, artisan food and artisan art are all staples of New York’s burgeoning hipster culture, although to a cynical Brit like me, some of it felt a little try-hard. Brilliant: The Museum of Moving Image is set to become a New York must-visit - well worth going to . A case in point is the play Sleep No More, which made its début in London to critical rumblings and indifferent audiences but has become a real favourite in New York. Set in a warehouse over several floors, the idea is that you walk in at an unspecified point in the play (I managed to work out that it was a version of Macbeth but not everyone does) and follow the actors around attempting to get a handle on the action. Beginning in a wonderfully old-fashioned red-velvet lined bar, the action was compered by a chap with a British accent taken from the Dick van Dyke school of acting, who showed us into a lift and provided us with Scream-style masks before throwing us into the thick of things. Moving around the huge set, I walked into scene after scene and never really got much sense of the plot, although I did find myself becoming increasingly irritated with the hammy miming. Indeed, so disjointed was Sleep No More,   $20 booklets explaining the plot were being flogged to theatregoers, who had already paid $80 to get in, on their way out. Being unable to work out what it was all about is clearly a recurrent problem. Luckily for those whose tastes don’t stretch to baffling plays and bottles of dog fluff, New York still has much to love. Along with MOMA, there’s the brilliant Museum of Moving Image in Queens which takes you on a whistlestop tour through the US’ lengthy cinematic history with the help of a cleverly curated selection of pieces, among them the creepy doll which found fame in the Exorcist. Then there’s the bewildering selection of places to eat. In Queens alone, there’s everything from Brazilian to British and everything in between - and nearly all of it is delicious. And of course, there are all those iconic sights: the slow-moving Hudson River, the Rockerfeller Center, the Statue of Liberty and more. Nu York might not be to everyone’s taste but there’s no shortage of reasons to love the Big Apple – pulsating art scene and a quirky taste in plays included. Just don't make me watch Sleep No More again. Icelandair (icelandair.co.uk) flies from five UK airports including Birmingham to 14 North American destinations. Icelandair offers return Heathrow to JFK flights from £436.61 with a stopover of up to seven nights in Iceland with no extra airfare. The Roger Smith Hotel in Midtown Manhattan (rogersmith.com) offers rooms from $250 (approximately £164) per night. Z Hotel in Long Island City, Queens (zhotelny.com) offers superior rooms from $125 in low season (approximately £89) and $225 in high season (approximately £146) per night on a B&B basis. For more information on New York City, please visit the NYC & Company website: www.nycgo.com .","New York is currently enjoying a cultural makeover .
Highlights include the SculptureCenter in Queens and experimental plays .
Classic New York spots such as the marvellous MOMA remain excellent .
Another highlight is the Museum of Moving Image in Queens .
Icelandair allows travellers flying to the US to stop off en route .
Itineraries include visits to Reykjavik and the stunning Golden Circle ."
29,"When Steven Davis arrives back at Hampden for the first time in four years it is sure to be a bittersweet occasion for the former Rangers captain. The memories will come flooding back of his five cup finals as an Ibrox midfielder that ended with the Ibrox players being showered in champagne and drenched in adulation. There was a time when Davis dreamed life would always be like this; that his next trip to Mount Florida would be to add to those two Scottish Cups and three League Cup wins secured under Walter Smith. Southampton midfielder Steven Davis shoots at goal during a  match against West Ham last month . Yet those aspirations ended abruptly when the economics of the madhouse behind the scenes at Ibrox intersected with cold hard reality and Rangers plunged into the financial abyss in 2012. When Davis returns to the city to skipper Northern Ireland in a friendly with Scotland next Wednesday night, he knows he could face a hostile reception from the Rangers fans in the crowd who remain raw about the way their on-field leader walked out when the going got tough. Yet with no clarity on what the future held for the club under Charles Green, Davis was one of several leading players who opted to move on rather than remain to usher in the new era under Charles Green. While Davis takes no personal pleasure from vindication, time has shown his switch to high-flying Southampton to be a shrewd move, as Rangers have, by contrast, stumbled between alternating humiliations and crises over the last three years. And while the 30-year-old would understands any animosity, he hopes the fans realise he was left with no other realistic choice. Davis (centre) lifts the Scottish Cup trophy after Rangers beat Falkirk 1-0 in the 2009 final at Hampden . ‘I’m really looking forward to the match against Scotland,’ said Davis, who won three SPL titles and was a UEFA Cup Finalist between 2008 and 2012. ‘I’ve always wanted to get back up the road to catch a game but with the number of fixtures we have nowadays I haven’t managed. ‘I’ve fond memories from the majority of my appearances at Hampden and without doubt, I always hoped I’d play there a few more times with Rangers. When you enjoy as much success as we did in finals, you clearly want to continue in the same vein. ‘We always seemed to do well in the cup competitions but none of us – whether you were a fan or a player – could have foreseen what would happen at the club. ‘When you play football, you don’t really have your mind on anything else but with the publicity Rangers get, we started to get away from that. ‘When the new people came in, we didn’t know who we were dealing with and there was no dialogue in terms of telling us which direction the club was going in. ‘We never heard from the new owners about how they wanted to take the club forward or what their ambitions were for the next four or five years. Davis (centre) goes flying after being fouled during Northern Ireland's match against the Faroes last year . ‘We didn’t even hear how the next six months might pan out. There were no conversations had with us at all and it was an impossible situation for everybody. I didn’t ever get a phone call to say what the plans were or what the aims of the club were to try to progress. ‘I was the captain at the time so if I wasn’t getting a call, it’s fair to say I don’t think anyone else would have been either. ‘It was difficult because nobody really knew what sanctions were going to be applied and if we were going to be relegated or not. We were put in a position where we had to make a decision on our futures without knowing what the future might hold in store. ‘We had to make choices without knowing anything and the biggest thing from the club was there was a lack of communication so we didn’t know which way it was going. ‘I’m sure there will still be a few people who are unhappy with the way players left but we’ve seen a lot of things unravel in the last couple of years. Hindsight is a wonderful thing and everybody can now see the effect the new people had after they came in. ‘Maybe the fans can start to see where we were coming from and how we looked at it a bit better because of that.’ Davis (right) celebrates with his Rangers team-mates after the Ibrox club won the 2011 League Cup final . As Rangers struggle, Davis has been a key player in Southampton’s challenge for a European place this season. He has tended to keep his own counsel on the thorny issue of Rangers but when he joined Southampton, technically as a free agent, he pushed succeeded for the St Mary’s club to pay Rangers a fee. These days he just hopes the damage of three years of mismanagement at Ibrox can by repaired. ‘It is difficult to say anything in the media about it because you’re never going to come across the right way in everybody’s eyes,’ the 71-capped Ulsterman said. ‘It was obviously a difficult situation at the time but whenever I played, I always gave 100 per cent and I loved my time at Rangers. ‘I’ve got nothing but good memories of the fans, who were excellent with me and any supporters I’ve met since have only been positive. ‘At the time, a lot of things were said in the heat of the moment but over time, I think people have been able to see we had to make the best decisions for ourselves and our families. Davis (right) poses with Rangers manager Ally McCoist after winning the Scottish Premier League Player of the Month award for September 2011 . ‘For me, as an international player at 27 as I was then, I wanted to play at the highest level and I had to take everything into consideration. ‘As we didn’t have any real direction at Rangers we were being made aware of, we wanted to know what was happening but got nothing. ‘When I joined the club at first, there was no need to have that conversation because we simply went into every competition looking to win it. ‘That was clear. The fans demanded that, as did the players, but things changed and I hope Rangers can get back to that soon. ‘I’ve always wanted to get back to Ibrox to see a game and if it wasn’t for what happened, we could potentially all still be there just now. ‘It’s not like we were all angling for moves. At the time, we had a great dressing room and had had a lot of success over a number of years. There was no real need for any of us to look elsewhere and it was really unfortunate things went the way they did.’","Steven Davis returns to Hampden next week for the first time in four years .
The Southampton midfielder was once captain of Rangers .
Davis will skipper Northern Ireland in Wednesday's friendly with Scotland ."
30,"Outnumbered but definitely not outgunned. Trainer Mark Bradstock should adopt it as his stable motto. The Oxfordshire trainer will certainly be hoping that is the case when Coneygree bids to become the first novice to win the £550,000 Betfred Gold Cup since Captain Christy in 1974. Talk of such lofty ambition started after Bradstock and his assistant trainer wife, Sara, saw Coneygree stroll home by 40 lengths in the Kauto Star Novices’ Chase at Kempton on Boxing Day in only his second steeplechase. Oxfordshire trainer Mark Bradstock's Coneygree will b out to make history in the Betfred Gold Cup on Friday . Coneygree is running to be the first novice to win the £550,000 Betfred Gold Cup since Captain Christy in 1974 . Proof the performance was not a fluke came when Coneygree slammed Hennessy Gold Cup runner-up Houblon Des Obeaux by seven lengths in Newbury’s Denman Chase on February 7. Part of the credit for Coneygree’s performances has been shared with son Alfie. He is pursuing a showjumping career under the guidance of former international Graham Fletcher and regularly tutors Coneygree over the poles. Bradstock, who spent 12 years as assistant to legendary trainer Fulke Walwyn, said: ‘Coneygree’s strength is an incredibly high cruising speed and being able to efficiently jump at that speed, when most can’t. 'For a small stable like us to even have a runner at the Festival is fantastic, let alone a fancied one. ‘But I never feel like an underdog. We can put it up the bigger stables, even with their £250,000 horses, as 99 per cent of our horses are front-runners — they are fit and know how to jump.’ Coneygree won the Kauto Star Novices’ Chase at Kempton on Boxing Day in just his second steeplechase . Coneygree is under the direction of Mark, assistant trainer wife, Sara, and showjumping jockey son Alfie .","Coneygree could be the first novice to win the Gold Cup since 1974 .
Trainer Mark Bradstock said: 'For a small stable like us to even have a runner at the Festival is fantastic, let alone a fancied one'
Won Kauto Star Novices’ Chase at Kempton in only his second chase .
Coneygree takes on the £550,000 race at 3.20pm on Friday at Cheltenham ."
31,"Amid a torrent of rumours surrounding Rafa Benitez and his managerial future, the Spaniard quietly continued a phenomenal career trend on Thursday with Napoli. He took the Serie A side into the Europa League semi-final with an emphatic 6-3 aggregate victory over Wolfsburg and the impending encounters against Dnipro will be Benitez's seventh major European semi-final in 12 seasons. Napoli are the fourth club he has taken to the latter stages of a European competition, following spells with Valencia, Liverpool and Chelsea. Rafa Benitez (right) celebrates taking Napoli into the Europa League semi-final with striker Gonzalo Higuain . Benitez (centre) has reached his seventh European semi-final in only 12 seasons with four teams . Benitez (right) guided Liverpool to Champions League glory in 2005, his first season at the club . Benitez got Liverpool back to the final of the competition in 2007, where they were beaten 2-1 by AC Milan . 2004: UEFA Cup winner (Valencia) 2005: Champions League winner (Liverpool) 2007: Champions League finalist (Liverpool) 2008: Champions League semi (Liverpool) 2010: Europa League semi (Liverpool) 2013: Europa League winner (Chelsea) 2015: Europa League semi (Napoli) Benitez tasted continental success for the first time with Valencia in 2004, lifting what was then the UEFA Cup after beating a Marseille side spearheaded by Didier Drogba 2-0 in the final. That achievement, alongside the two La Liga titles he won during his three-year spell at the Mestalla, caught the eye of Liverpool, who swooped to bring the Spaniard in as Gerard Houllier's replacement. His first Premier League season was one of adjustment but in Europe, Benitez flourished. He recorded his most stunning glory to date, masterminding what on paper was a woefully uninspiring Liverpool team to Champions League glory, overcoming a star-studded AC Milan side that boasted the likes of Cafu, Paolo Maldini, Kaka and Andriy Shevchenko in the final. Benitez maneuvered Liverpool back to the Champions League final in 2007, eliminating Barcelona on the way with a win at the Nou Camp, only for Milan to avenge their defeat two years prior with a 2-1 victory. The Spaniard  manipulated another assault on Europe's elite trophy the following year but Liverpool were knocked out in the semi-final by Chelsea. Off-field ownership turmoil derailed Benitez's team and Liverpool have not even threatened to emerge as a challenger for club football's most prestigious competition since. They were eliminated in the group stage of the tournament in 2010, where a third-placed finish resulted in demotion to the Europa League. But Benitez guided Liverpool to the semi-finals of Europe's secondary competition, where a Diego Forlan strike in extra-time at Anfield sent Atletico Madrid to the final, where they beat Roy Hodgson's Fulham. The Spaniard was sacked as Liverpool manager at the end of the 2010 season and Hodgson replaced Benitez, who ended up at Chelsea as interim manager in 2012 via a short spell at Inter Milan. Benitez won the Europa League with Chelsea, beating Benfica in the final, but his stay at Stamford Bridge was always going to be a short one. Benitez often barbed Chelsea supporters while at Anfield and with Jose Mourinho's time at Real Madrid grinding to a halt, it was clear who Benitez was keeping the Chelsea hotseat warm for. Now at Napoli, Benitez finds his future at the club in question due to meandering domestic form. Napoli are currently fourth in Serie A, five points away from the top three (which equals Champions League qualification in Italy) with seven games remaining until the end of the season, when the Spaniard's contract expires. Benitez was not a popular choice at Chelsea but he still delivered silverware with the Europa League . Benitez first won the trophy with Valencia in 2004 shortly before moving to Liverpool . Benitez is out of contract at Napoli at the end of the season and has been linked with Manchester City . Benitez has been linked with a return to England with Manchester City, as Manuel Pellegrini has overseen a feeble attempt at defending their Premier League title, while some Liverpool fans even pine for him to return to Anfield. If Benitez does leave Napoli at the end of the season, he will surely have an array of suitors. He has 12 major honours to his name. Few coaches across Europe posses a record as imposing as his.","Rafa Benitez's contract at Napoli expires at the end of the season .
He guided the Italian side to the Europa League semi-final on Thursday .
He has taken four teams to a European semi-final inside 12 years ."
32,"Investors moving to the sidelines and stowing away their cash could be making a costly mistake, according to BlackRock.",Investors' Caution May Backfire
33,"Florida Sen. Rick Scott (R) says he will vote against proposed legislation to raise the debt limit until 2025 in exchange for cuts to domestic discretionary spending, signaling a battle on the Sena…",Scott Opposes Debt Limit Hike
34,"To the surprise of no-one, Studio Wit and DC's collaboration to bring Suicide Squad to the world of anime looks absolutely wild.",Suicide Squad Anime Collaboration
35,Supporters of Bernie Sanders are looking for a 2024 candidate not named Biden. Some are giving Marianne Williamson a close look.,Sanders Supporters Eye Williamson
36,"As heir to the Formula 1 empire, Tamara Ecclestone's childhood was no doubt a luxurious one. And it seems that she wants the same for her daughter Sophia, who celebrated turning one today with a lavish and extravagant birthday party in her honour. Tamara, 30, and husband Jay Rutland clearly wanted to give their only daughter a first birthday to remember - and they pulled out all the stops by creating 'Sophia's farmyard' in the garden of their London mansion. Scroll down for video . Happy birthday, Sophia! Tamara Ecclestone and Jay Rutland celebrated daughter Sophia's first birthday by creating a farmyard for the tiny tot in the garden of their London mansion . Birthday girl: Tamara uploaded a snap of her firstborn wearing custom-made pyjamas on Instagram with the words: 'Happy birthday angel no words could ever describe how much I love you so proud of the beautiful little lady you are the light of my life' Zebras, sheep, puppies and ponies were just some of the animals that were seen arriving at the family home, which had been kitted out with pink balloons crafted into 'S' shapes in honour of the youngster. Each animal had its very own station complete with a gazebo and pink name sign and a balloon artist was also seen making his way into the family home. On Tuesday morning, Tamara uploaded a snap of her firstborn wearing custom-made pajamas on Instagram. The picture of the tiny tot wearing the outfit, which was emblazoned with her name and the number '1', was captioned with the words: 'Happy birthday angel no words could ever describe how much I love you so proud of the beautiful little lady you are the light of my life.' Fit for a princess: The entrance to the house was transformed into a balloon castle emblazoned with giant 'S' letters in the child's honour . Welcome to the farmyard: Each animal had its own station complete with a pink sign with its name on and a princess crown . Enjoying her special day: Tamara's little daughter Sophia seemed to be enjoying her special day in this Instagram shot of her playing with her new presents . Which was is the party? Guests and animal experts made their way into the event armed with little puppies on leads . Disneyland comes to London: Tamara even invited a real life princess along to join in the celebrations at her family home . Speaking about the event, Steven Duggan, who didn't organise this event but has organised events for the likes of Elton John and Adele, believes the event could have cost around £70,000. He said: 'This is a beautiful setting for Sophia on her birthday. 'We have done similar 1st birthday parties for high end clientele like Tamara Ecclestone before where our clients spent upwards of £70,000. It's a first birthday, if you can spoil them why not! It looks magical; a perfect fairytale party!'. Formerly of the party-girl persuasion, Tamara is embracing a more quiet life with open arms, confessing that 'parenting is so much better than going out partying'. And although Tamara  is clearly loving having a little girl, she does admit that it does come with its less-than-glamorous challenges. Speaking to new! magazine about the joys of being a parent, she admitted that there are moments that are rather embarrassing. 'After having a baby, all your dignity goes out of the window!' she joked, adding that some of her most mortifying moments in her first year of having a baby include 'breast leakage' and 'poo on her jeans'. Special guest: A zebra was spotted being led into the Ecclestone/Rutland home ahead of their daughter's party . Coming through! An adorable cage load of puppies were also dragged into the family home to join in the lavish celebrations . Gifts galore: She may only be one year old but Sophia is certainly starting life off in the laps of luxury . Let me entertain you: A balloon artist was seen arriving at the London home with a bag full of surprises for the baby . Ready to party! There were animal experts seen carrying sheep and security guards armed with giant pink presents at the party on Tuesday afternoon . What's in the box? A courier company were seen arriving at the house with a huge delivery . A luxury London zoo: Zebras made their way into Sophia's farmyard ahead of the little girl's first birthday party celebrations . However, the more disgusting 'perks' of having a young one aside, the 30-year-old is thoroughly enjoying her life as a mother, admitting that she's put her former lifestyle behind her for a more wholesome, honest living. 'The love that you feel is so much deeper,' she said. 'I don't have tolerance for bulls**t now. I don't waste time with fakeness. Sophia's my priority. She's really turned my life upside down – for the better.' The beautiful brunette socialite also opened up about the fact she and husband Jay Rutland are still sharing a bed with their tot, but that it's not a problem for them. Speaking in an interview with Hello magazine last year, Tamara - who gave birth to Sophia last March, her first child - revealed that she was a 'hands-on' mother even though she admitted it can be tiring. 'I'm totally exhausted all the time, but I don't care because it's a happy exhaustion,' she explained. 'I'm not drinking or having coffee and I'm being so healthy for Sophia. 'I'm sorry, but I'm completely obsessed with Sophia. I love her so much I'm like a crazy woman.' Tamara and her daughter were last week spotted enjoying a day out in Hyde Park, where they were duck spotting. Their little outing came just before Tamara and husband Jay and their daughter flew out to Milan for another of their many getaways, before also taking a 24-hour round-trip from the city to the glorious Lake Como in the north of Italy. Little Sophia was blissfully unaware of her luxury surrounding as she boarded a private plane with her mother. Jay, to whom Tamara has been married since 2013, chose to celebrate his 34th birthday with the quick getaway in the idyllic location, where they enjoyed a night at the Villa D’Este Hotel . Speaking in an interview  last year, Tamara - who gave birth to Sophia last March with husband Jay Rutland - revealed that she was a 'hands-on' mother even though she admitted it can be tiring . Furry friends: Four dogs were carted into the family home, which had been kitted out in blue and white balloons and gazebos . Ecclestone castle: The entrance of the house was designed to look like a princess castle with pink and white balloons . Help is at hand: The little girl was certainly in for a birthday to remember with farmyard and exotic animals arriving in the truck load . Lucky girl: Judging by the human-size presents, Sophia was sure in for a treat this birthday . So many presents, so little time: The young child was lavished with giant presents, which were carried into the house by security guards .","Tamara Ecclestone and Jay Rutland created a farmyard in their garden with an array of animals .
Entrance to the family home was decorated with giant pink 'S' balloons and security guards carried giant presents in .
Sophia was seen on Instagram wearing a custom-made outfit in honour of her first birthday .
Celebrity party planner, who has organised similar events, estimates that it cost £70,000 ."
37,"Domestic measles cases surged in 2019, with an estimated 1,274 people sick in at least 31 states -- the greatest number of cases reported since 1992, the CDC says.",2019 Measles Outbreak Surge
38,Was it the correct decision to send off Liverpool midfielder Alexis Mac Allister? And should Manchester United have had a penalty?,"""Red Card and Penalty Debate"""
39,Tel Aviv University says it has removed the Sackler family — known as the makers of OxyContin — from the full name of its medical school after decades of donations,Sackler Name Removed from School
40,"Arrested: Rebecca Grant tried to head-butt a deputy, scratched the police car's with her teeth, bit the upholstery and' threatened to kill the deputies' A Maine woman who was being hauled off to jail is facing even more charges after allegedly tearing apart a police cruiser with her teeth and attempting to head-butt a sheriff's deputy. Police in Limington, Maine, had been responding to reports that an apparently drunk woman was walking in and out of traffic and laying in the road on Saturday afternoon. Rebecca Grant, 40, initially claimed that she had been kidnapped and abused, but when she refused to give the name of her captors, police checked her ID and found that she was out on bail. Once York County sheriff’s deputies learned she had bail conditions not to possess or consume alcohol they went to arrest her, Sheriff William King said. However, at this point, she became violent, and attempted to head-butt a deputy sheriff before 'thrusting her head onto the trunk of his cruiser on two occasions,' Bangor Daily News reports. Once Grant, from Biddeford, had been subdued and placed in the police car, officers found white residue on her teeth. They then discovered a three-inch scratch mark in the paint of the trunk, concluding that she had, in fact, 'bitten' the patrol cruiser. Enroute to York County Jail, Grant bit the upholstery, tearing the material, causing $500 worth of damage. She also attempted to kick out the car window, Sheriff King said. In addition, the 40-year-old allegedly threatened to kill deputies and their families. Grant was charged with violating her bail conditions and criminal mischief for causing $500 in damage to the cruiser. She remained jailed Tuesday on a $200 cash bail at the York County Jail in Alfred. Ms Grant, 40, from Biddeford, was found walking 'drunk' in and out of traffic on a road in Limington, Maine .","Police arrested Rebecca Grant, 40, for breaching bail conditions .
Found apparently intoxicated walking into traffic in Limington, Maine .
Resisting arrest, she scratched car with her teeth and bit upholstery .
She also 'tried to head-butt a deputy and threatened to kill him'"
41,The nation’s largest gay advocacy group stripped Anheuser-Busch of a key metric following the beer giant’s backpedaling over Bud Light’s controversial tie-up with Dylan Mulvaney.,Anheuser-Busch Loses LGBTQ Support
